InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
569672,22365,DOORMAT RESPECTABLE HOUSE,1,10/5/2011 13:58,8.25,17841.0,United Kingdom
555203,82551,LAUNDRY 15C METAL SIGN,2,6/1/2011 12:13,1.45,17191.0,United Kingdom
568188,23188,VINTAGE  2 METER FOLDING RULER,1,9/25/2011 14:33,1.65,16049.0,United Kingdom
559126,46000S,POLYESTER FILLER PAD 40x40cm,10,7/6/2011 12:33,1.45,17341.0,United Kingdom
564246,20711,JUMBO BAG TOYS ,10,8/24/2011 10:36,2.08,13534.0,United Kingdom
567699,23202,JUMBO BAG VINTAGE LEAF,10,9/22/2011 9:16,2.08,17466.0,United Kingdom
537201,22595,CHRISTMAS GINGHAM HEART,12,12/5/2010 14:19,0.85,12472.0,Germany
542989,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,2/2/2011 11:41,2.55,15226.0,United Kingdom
536845,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,12/2/2010 19:18,8.5,17961.0,United Kingdom
581006,23582,VINTAGE DOILY JUMBO BAG RED ,10,12/7/2011 8:45,2.08,14911.0,EIRE
546950,22963,JAM JAR WITH GREEN LID,4,3/18/2011 11:24,0.85,16511.0,United Kingdom
560225,22374,AIRLINE BAG VINTAGE JET SET RED,2,7/15/2011 16:27,4.13,,United Kingdom
576189,20668,DISCO BALL CHRISTMAS DECORATION,24,11/14/2011 11:33,0.12,14684.0,United Kingdom
578792,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,11/25/2011 12:20,0.85,14911.0,EIRE
557973,22699,ROSES REGENCY TEACUP AND SAUCER ,6,6/24/2011 10:26,2.95,12955.0,United Kingdom
552539,22427,ENAMEL FLOWER JUG CREAM,3,5/10/2011 10:17,5.95,,EIRE
571279,23329,DECORATIVE WICKER HEART LARGE,4,10/16/2011 12:54,1.65,16466.0,United Kingdom
576840,20677,PINK POLKADOT BOWL,1,11/16/2011 15:23,2.46,,United Kingdom
558058,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,6/24/2011 15:00,2.49,14766.0,United Kingdom
544177,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,4,2/16/2011 14:27,4.95,13001.0,United Kingdom
539579,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,12/20/2010 12:51,8.5,16713.0,United Kingdom
581439,21065,BOOM BOX SPEAKER GIRLS,2,12/8/2011 16:30,4.13,,United Kingdom
550987,22562,MONSTERS STENCIL CRAFT,1,4/21/2011 18:10,2.46,,United Kingdom
537823,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,12/8/2010 14:25,3.36,,United Kingdom
539991,21324,HANGING MEDINA LANTERN SMALL,2,12/23/2010 16:49,2.95,,United Kingdom
568408,21155,RED RETROSPOT PEG BAG,9,9/27/2011 10:40,4.96,,United Kingdom
566123,23182,TOILET SIGN OCCUPIED OR VACANT,24,9/9/2011 11:15,0.83,15039.0,United Kingdom
575063,23322,LARGE WHITE HEART OF WICKER,1,11/8/2011 12:32,2.95,16764.0,United Kingdom
555851,85049G,CHOCOLATE BOX RIBBONS ,2,6/7/2011 13:37,1.25,13050.0,United Kingdom
573094,22659,LUNCH BOX I LOVE LONDON,1,10/27/2011 14:39,1.95,15707.0,United Kingdom
571434,22386,JUMBO BAG PINK POLKADOT,3,10/17/2011 13:22,2.08,13069.0,United Kingdom
547209,22294,HEART FILIGREE DOVE  SMALL,24,3/21/2011 14:44,1.25,13081.0,United Kingdom
556432,23051,RECYCLED ACAPULCO MAT BLUE,5,6/10/2011 13:59,8.25,16184.0,United Kingdom
558066,21116,OWL DOORSTOP,1,6/24/2011 15:45,8.29,,United Kingdom
550911,23204,CHARLOTTE BAG APPLES DESIGN,10,4/21/2011 13:11,0.85,12354.0,Spain
578513,22120,WELCOME  WOODEN BLOCK LETTERS,3,11/24/2011 13:32,9.95,16609.0,United Kingdom
537781,22818,CARD CHRISTMAS VILLAGE,12,12/8/2010 12:46,0.42,17341.0,United Kingdom
579171,84946,ANTIQUE SILVER T-LIGHT GLASS,12,11/28/2011 14:30,1.25,13030.0,United Kingdom
571475,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,10/17/2011 14:42,2.1,15033.0,United Kingdom
539739,22893,MINI CAKE STAND T-LIGHT HOLDER,1,12/21/2010 15:19,0.85,,United Kingdom
542907,21363,HOME SMALL WOOD LETTERS,15,2/1/2011 15:15,4.95,13854.0,United Kingdom
552975,22778,GLASS CLOCHE SMALL,4,5/12/2011 13:58,3.95,17932.0,United Kingdom
542133,22112,CHOCOLATE HOT WATER BOTTLE,6,1/25/2011 16:33,4.95,13049.0,United Kingdom
570818,23212,HEART WREATH DECORATION WITH BELL,1,10/12/2011 12:47,1.25,17841.0,United Kingdom
556059,84946,ANTIQUE SILVER T-LIGHT GLASS,24,6/8/2011 13:56,1.25,13630.0,United Kingdom
573999,22626,BLACK KITCHEN SCALES,2,11/2/2011 11:43,8.5,12779.0,Poland
569943,21984,PACK OF 12 PINK PAISLEY TISSUES ,1,10/6/2011 18:08,0.39,14592.0,United Kingdom
578347,85199S,SMALL HANGING IVORY/RED WOOD BIRD,4,11/24/2011 9:26,0.83,,United Kingdom
574559,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,11/4/2011 15:50,1.45,14056.0,United Kingdom
577736,16237,SLEEPING CAT ERASERS,10,11/21/2011 13:20,0.21,14606.0,United Kingdom
576559,22360,GLASS JAR ENGLISH CONFECTIONERY,1,11/15/2011 13:19,2.95,14711.0,United Kingdom
546973,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,4,3/18/2011 12:07,4.13,,United Kingdom
575300,22621,TRADITIONAL KNITTING NANCY,12,11/9/2011 12:30,1.65,13804.0,United Kingdom
540373,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,4,1/6/2011 17:10,2.55,13280.0,United Kingdom
578347,23245,SET OF 3 REGENCY CAKE TINS,2,11/24/2011 9:26,10.79,,United Kingdom
546136,71270,PHOTO CLIP LINE,1,3/9/2011 16:32,2.46,,United Kingdom
575867,21401,BLUE PUDDING SPOON,3,11/11/2011 12:44,0.12,15034.0,United Kingdom
559693,21864,UNION JACK FLAG PASSPORT COVER ,2,7/11/2011 16:21,1.63,,United Kingdom
579189,82600,N0 SINGING METAL SIGN,288,11/28/2011 15:34,1.85,16684.0,United Kingdom
541980,21520,BOOZE & WOMEN GREETING CARD ,12,1/24/2011 15:09,0.42,12421.0,Spain
580889,23533,WALL ART GARDEN HAVEN ,1,12/6/2011 12:27,1.95,14071.0,United Kingdom
539421,22961,JAM MAKING SET PRINTED,12,12/17/2010 14:21,1.45,14016.0,EIRE
570210,23183,MOTHER'S KITCHEN SPOON REST ,2,10/9/2011 10:48,3.75,13259.0,United Kingdom
557643,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,6/21/2011 16:36,16.63,,United Kingdom
579787,22069,BROWN  PIRATE TREASURE CHEST ,1,11/30/2011 15:33,4.13,,United Kingdom
558475,47585A,PINK FAIRY CAKE CUSHION COVER,17,6/29/2011 15:58,4.13,,United Kingdom
560566,23204,CHARLOTTE BAG APPLES DESIGN,10,7/19/2011 13:45,0.85,12662.0,Germany
573361,22422,TOOTHPASTE TUBE PEN,2,10/30/2011 12:53,0.65,14456.0,United Kingdom
568480,23520,EMBROIDERED RIBBON REEL RUBY ,6,9/27/2011 11:52,3.75,17490.0,United Kingdom
546888,22386,JUMBO BAG PINK POLKADOT,1,3/17/2011 18:15,4.13,,United Kingdom
537235,22659,LUNCH BOX I LOVE LONDON,324,12/6/2010 9:45,1.65,17381.0,United Kingdom
576538,23553,LANDMARK FRAME CAMDEN TOWN ,1,11/15/2011 12:42,12.5,14725.0,United Kingdom
566730,21684,SMALL MEDINA STAMPED METAL BOWL ,1,9/14/2011 13:31,0.85,14606.0,United Kingdom
574317,35818P,"ACRYLIC JEWEL ICICLE, PINK",36,11/3/2011 18:49,0.38,17078.0,United Kingdom
570919,22366,DOORMAT AIRMAIL ,4,10/13/2011 10:57,8.25,12584.0,Italy
557493,21867,PINK UNION JACK  LUGGAGE TAG,2,6/20/2011 15:18,2.46,,United Kingdom
549989,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,4/13/2011 16:58,1.45,13221.0,United Kingdom
568408,79321,CHILLI LIGHTS,5,9/27/2011 10:40,12.46,,United Kingdom
580115,22365,DOORMAT RESPECTABLE HOUSE,2,12/1/2011 16:22,15.79,,United Kingdom
554392,22505,MEMO BOARD COTTAGE DESIGN,2,5/24/2011 12:04,4.95,14534.0,United Kingdom
570405,90058B,CRYSTAL STUD EARRINGS ASSORTED COL ,36,10/10/2011 12:51,0.38,13429.0,United Kingdom
572309,22092,BLUE PAISLEY TISSUE BOX,3,10/23/2011 15:29,0.39,14432.0,United Kingdom
577218,22153,ANGEL DECORATION STARS ON DRESS,48,11/18/2011 12:02,0.42,13117.0,United Kingdom
564943,22979,PANTRY WASHING UP BRUSH,2,8/31/2011 13:23,1.45,17706.0,United Kingdom
562113,85017B,ENVELOPE 50 BLOSSOM IMAGES,2,8/2/2011 16:11,0.83,,United Kingdom
575128,48187,DOORMAT NEW ENGLAND,2,11/8/2011 14:27,8.25,16837.0,United Kingdom
562542,21519,GIN & TONIC DIET GREETING CARD ,12,8/5/2011 15:40,0.42,17377.0,United Kingdom
576837,22423,REGENCY CAKESTAND 3 TIER,1,11/16/2011 15:16,24.96,,United Kingdom
542904,22077,6 RIBBONS RUSTIC CHARM,12,2/1/2011 14:58,1.65,12682.0,France
565580,23445,ICE CREAM BUBBLES,20,9/5/2011 12:36,0.83,13851.0,United Kingdom
576618,21479,WHITE SKULL HOT WATER BOTTLE ,1,11/15/2011 17:00,8.29,,United Kingdom
537138,22733,3D TRADITIONAL CHRISTMAS STICKERS,5,12/5/2010 12:44,1.25,17211.0,United Kingdom
578833,22813,PACK 3 BOXES BIRD PANETTONE ,1,11/25/2011 15:23,4.13,,United Kingdom
575837,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,11/11/2011 11:37,0.42,12748.0,United Kingdom
580720,22395,PAPERWEIGHT VINTAGE PAISLEY,2,12/5/2011 16:55,0.39,14629.0,United Kingdom
569481,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,10/4/2011 12:43,6.95,15255.0,United Kingdom
554275,48129,DOORMAT TOPIARY,1,5/23/2011 13:17,7.95,14903.0,United Kingdom
573913,22178,VICTORIAN GLASS HANGING T-LIGHT,6,11/1/2011 15:49,1.95,17653.0,United Kingdom
571293,22470,HEART OF WICKER LARGE,2,10/16/2011 15:56,2.95,13956.0,United Kingdom
575516,23531,WALL ART BIG LOVE ,3,11/10/2011 10:45,6.95,17340.0,United Kingdom
569726,23399,HOME SWEET HOME HANGING HEART,12,10/6/2011 9:36,0.85,17419.0,United Kingdom
575331,23206,LUNCH BAG APPLE DESIGN,10,11/9/2011 13:52,1.65,13209.0,United Kingdom
569372,23227,FILIGREE HEART BUTTERFLY WHITE ,1,10/3/2011 16:04,2.46,,United Kingdom
581492,90182C,BLACK 3 BEAD DROP EARRINGS,1,12/9/2011 10:03,2.9,,United Kingdom
540468,85131D,BEADED CRYSTAL HEART PINK ON STICK,8,1/7/2011 13:55,0.85,,United Kingdom
546383,21063,PARTY INVITES JAZZ HEARTS,12,3/11/2011 12:54,0.85,13654.0,United Kingdom
581219,23437, 50'S CHRISTMAS GIFT BAG LARGE,1,12/8/2011 9:28,2.46,,United Kingdom
560104,23093,SMALL PARISIENNE HEART PHOTO FRAME ,2,7/14/2011 18:56,2.49,17921.0,United Kingdom
574700,22728,ALARM CLOCK BAKELIKE PINK,4,11/6/2011 13:53,3.75,16033.0,United Kingdom
546216,22185,SLATE TILE NATURAL HANGING,24,3/10/2011 11:56,1.65,18173.0,United Kingdom
566438,22971,QUEENS GUARD COFFEE MUG,6,9/12/2011 15:14,2.55,15996.0,United Kingdom
540418,85152,HAND OVER THE CHOCOLATE   SIGN ,1,1/7/2011 11:04,4.21,,United Kingdom
555851,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,6/7/2011 13:37,7.95,13050.0,United Kingdom
546972,22644,CERAMIC CHERRY CAKE MONEY BANK,1,3/18/2011 12:04,4.13,,United Kingdom
575875,23087,ZINC  HEART T-LIGHT HOLDER,1,11/11/2011 13:06,2.46,,United Kingdom
577544,17174,ASSTD RASTA KEY-CHAINS,3,11/20/2011 14:43,0.42,17758.0,United Kingdom
561194,22949,36 DOILIES DOLLY GIRL,12,7/25/2011 13:54,1.45,13814.0,Germany
560048,23301,GARDENERS KNEELING PAD KEEP CALM ,12,7/14/2011 15:02,1.65,13515.0,United Kingdom
545019,22711,WRAP CIRCUS PARADE,75,2/25/2011 13:56,0.42,15093.0,United Kingdom
549318,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,4/8/2011 10:01,3.25,13911.0,United Kingdom
575486,72598,SET/12 TAPER CANDLES,24,11/9/2011 17:07,0.85,14911.0,EIRE
571849,22571,ROCKING HORSE RED CHRISTMAS ,7,10/19/2011 12:52,0.85,12841.0,United Kingdom
540568,84988,SET OF 72 PINK HEART PAPER DOILIES,9,1/10/2011 11:22,1.45,15039.0,United Kingdom
554160,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2,5/23/2011 11:49,0.29,17841.0,United Kingdom
549835,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,4/12/2011 13:24,0.72,17511.0,United Kingdom
560772,22595,GINGHAM HEART DECORATION,2,7/20/2011 16:12,1.63,,United Kingdom
546742,22287,"DECORATION , WOBBLY CHICKEN, METAL ",12,3/16/2011 12:26,1.65,12849.0,United Kingdom
564526,22438,BALLOON ART MAKE YOUR OWN FLOWERS,10,8/25/2011 14:50,1.95,15805.0,United Kingdom
578472,85049C,ROMANTIC PINKS RIBBONS ,12,11/24/2011 12:40,1.25,12476.0,Germany
566124,21136,PAINTED METAL PEARS ASSORTED,8,9/9/2011 11:15,1.69,16515.0,United Kingdom
543828,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2/14/2011 9:45,1.25,14156.0,EIRE
565396,22784,LANTERN CREAM GAZEBO ,1,9/2/2011 16:39,10.79,,United Kingdom
577230,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,11/18/2011 12:08,0.55,18034.0,United Kingdom
569202,22426,ENAMEL WASH BOWL CREAM,1,9/30/2011 17:22,7.46,,United Kingdom
547985,22078,RIBBON REEL LACE DESIGN ,10,3/29/2011 8:43,2.1,16455.0,United Kingdom
555096,23203,JUMBO BAG DOILEY PATTERNS,10,5/31/2011 13:32,2.08,12682.0,France
581219,22457,NATURAL SLATE HEART CHALKBOARD ,1,12/8/2011 9:28,5.79,,United Kingdom
537626,20782,CAMOUFLAGE EAR MUFF HEADPHONES,6,12/7/2010 14:57,5.49,12347.0,Iceland
562934,21012,ANTIQUE ALL GLASS CANDLESTICK,1,8/10/2011 16:56,2.46,,United Kingdom
562258,20992,JAZZ HEARTS PURSE NOTEBOOK,1,8/3/2011 15:28,0.39,16348.0,United Kingdom
559693,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,4,7/11/2011 16:21,1.24,,United Kingdom
543458,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2/8/2011 13:28,1.25,14587.0,United Kingdom
545910,21975,PACK OF 60 DINOSAUR CAKE CASES,24,3/8/2011 10:04,0.55,14586.0,United Kingdom
543518,85232A,SET/3 POLKADOT STACKING TINS,24,2/9/2011 11:21,4.25,12753.0,Japan
550953,22432,WATERING CAN PINK BUNNY,2,4/21/2011 16:17,4.13,,United Kingdom
578289,21927,BLUE/CREAM STRIPE CUSHION COVER ,4,11/23/2011 14:07,1.25,17841.0,United Kingdom
547841,21906,PHARMACIE FIRST AID TIN,2,3/27/2011 11:02,6.75,16923.0,United Kingdom
569030,22365,DOORMAT RESPECTABLE HOUSE,40,9/30/2011 10:27,8.0,17450.0,United Kingdom
578019,21967,PACK OF 12 SKULL TISSUES,1,11/22/2011 13:11,0.39,17360.0,United Kingdom
562934,82578,KITCHEN METAL SIGN,1,8/10/2011 16:56,1.25,,United Kingdom
C553687,22241,GARLAND WOODEN HAPPY EASTER,-1,5/18/2011 14:01,1.06,15311.0,United Kingdom
573585,82494L,WOODEN FRAME ANTIQUE WHITE ,1,10/31/2011 14:41,7.46,,United Kingdom
552277,22374,AIRLINE BAG VINTAGE JET SET RED,1,5/8/2011 12:34,4.25,13642.0,United Kingdom
548780,22978,PANTRY ROLLING PIN,6,4/4/2011 12:37,3.75,13294.0,United Kingdom
574009,22750,FELTCRAFT PRINCESS LOLA DOLL,1,11/2/2011 11:49,3.75,15750.0,United Kingdom
578155,20726,LUNCH BAG WOODLAND,1,11/23/2011 11:32,1.65,12748.0,United Kingdom
547386,21012,ANTIQUE ALL GLASS CANDLESTICK,2,3/22/2011 15:52,2.46,,United Kingdom
552010,21136,PAINTED METAL PEARS ASSORTED,4,5/5/2011 17:26,1.69,14713.0,United Kingdom
553927,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,200,5/20/2011 9:56,0.72,17381.0,United Kingdom
574298,21935,SUKI  SHOULDER BAG,2,11/3/2011 15:56,1.63,,United Kingdom
572669,23209,LUNCH BAG VINTAGE DOILY ,1,10/25/2011 13:10,1.65,16549.0,United Kingdom
538651,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,1,12/13/2010 15:07,3.75,15311.0,United Kingdom
581266,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,12,12/8/2011 11:25,2.89,12621.0,Germany
541877,22303,COFFEE MUG APPLES DESIGN,12,1/24/2011 10:12,2.55,12559.0,Germany
537465,22382,LUNCH BAG SPACEBOY DESIGN ,10,12/7/2010 10:32,1.65,17735.0,United Kingdom
556926,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1,6/15/2011 14:26,0.85,16324.0,United Kingdom
560300,90141D,ROSE PENDANT TRIPLE SHELL NECKLACE,3,7/18/2011 10:29,4.95,14911.0,EIRE
574072,22816,CARD MOTORBIKE SANTA,36,11/2/2011 14:58,0.42,15414.0,United Kingdom
540352,20616,CHERRY BLOSSOM PASSPORT COVER,2,1/6/2011 14:27,1.66,,United Kingdom
565453,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,9/4/2011 16:05,2.95,15136.0,United Kingdom
577258,23213,STAR WREATH DECORATION WITH BELL,2,11/18/2011 12:27,1.25,16764.0,United Kingdom
540681,47585A,PINK FAIRY CAKE CUSHION COVER,2,1/10/2011 16:25,4.21,,United Kingdom
574675,22951,60 CAKE CASES DOLLY GIRL DESIGN,6,11/6/2011 12:31,0.55,17289.0,United Kingdom
574714,23320,GIANT 50'S CHRISTMAS CRACKER,3,11/6/2011 14:29,2.89,15427.0,United Kingdom
540821,22210,WOOD STAMP SET BEST WISHES,2,1/11/2011 13:16,1.66,,United Kingdom
539225,22549,PICTURE DOMINOES,12,12/16/2010 13:02,1.45,15379.0,United Kingdom
556092,20717,STRAWBERRY SHOPPER BAG,1,6/8/2011 15:25,2.46,,United Kingdom
550986,20725,LUNCH BAG RED RETROSPOT,50,4/21/2011 18:06,3.3,,United Kingdom
568173,23356,LOVE HOT WATER BOTTLE,12,9/25/2011 13:16,5.95,16187.0,United Kingdom
579187,23397,FOOT STOOL HOME SWEET HOME ,1,11/28/2011 15:31,19.96,,United Kingdom
551003,23147,SINGLE ANTIQUE ROSE HOOK IVORY,1,4/26/2011 9:44,1.45,16456.0,United Kingdom
566251,23275,SET OF 3 HANGING OWLS OLLIE BEAK,5,9/11/2011 12:13,1.25,12841.0,United Kingdom
561797,20727,LUNCH BAG  BLACK SKULL.,30,7/29/2011 13:37,1.65,13178.0,United Kingdom
575706,23229,VINTAGE DONKEY TAIL GAME ,2,11/10/2011 17:13,3.75,14713.0,United Kingdom
542737,20974,12 PENCILS SMALL TUBE SKULL,1,1/31/2011 15:52,0.65,15058.0,United Kingdom
558919,23203,JUMBO BAG DOILEY PATTERNS,10,7/5/2011 9:56,2.08,15078.0,United Kingdom
572885,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,3,10/26/2011 13:45,1.25,15311.0,United Kingdom
551276,22457,NATURAL SLATE HEART CHALKBOARD ,6,4/27/2011 13:06,2.95,16016.0,United Kingdom
580115,23354,6 GIFT TAGS 50'S CHRISTMAS ,1,12/1/2011 16:22,1.63,,United Kingdom
543474,22301,COFFEE MUG CAT + BIRD DESIGN,6,2/8/2011 15:09,2.55,14415.0,United Kingdom
552265,22690,DOORMAT HOME SWEET HOME BLUE ,3,5/8/2011 11:41,7.95,14161.0,United Kingdom
541489,21929,JUMBO BAG PINK VINTAGE PAISLEY,3,1/18/2011 13:38,1.95,15023.0,United Kingdom
544190,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,2/16/2011 16:56,4.25,13089.0,United Kingdom
561195,22097,SWALLOW SQUARE TISSUE BOX,4,7/25/2011 13:57,0.39,14796.0,United Kingdom
570187,22599,CHRISTMAS MUSICAL ZINC STAR,160,10/7/2011 15:09,0.83,,United Kingdom
539647,21875,KINGS CHOICE MUG,1,12/20/2010 16:08,1.25,15460.0,United Kingdom
580136,22439,6 ROCKET BALLOONS ,10,12/1/2011 19:42,0.65,17841.0,United Kingdom
579167,22424,ENAMEL BREAD BIN CREAM,1,11/28/2011 14:06,12.75,16800.0,United Kingdom
542422,22457,NATURAL SLATE HEART CHALKBOARD ,5,1/27/2011 19:33,2.95,14702.0,United Kingdom
572924,23355,HOT WATER BOTTLE KEEP CALM,16,10/27/2011 8:56,4.95,13416.0,United Kingdom
554310,21937,STRAWBERRY   PICNIC BAG,1,5/23/2011 15:25,5.79,,United Kingdom
558904,21731,RED TOADSTOOL LED NIGHT LIGHT,1,7/4/2011 16:18,3.29,,United Kingdom
558911,21746,SMALL RED RETROSPOT WINDMILL,12,7/5/2011 9:23,1.25,14189.0,United Kingdom
563686,22712,CARD DOLLY GIRL ,24,8/18/2011 12:30,0.42,13098.0,United Kingdom
571797,85014b,RED RETROSPOT UMBRELLA,1,10/19/2011 11:41,12.46,,United Kingdom
573347,23344,JUMBO BAG 50'S CHRISTMAS ,4,10/30/2011 12:26,2.08,13137.0,United Kingdom
550670,23049,RECYCLED ACAPULCO MAT RED,2,4/20/2011 10:04,8.25,17734.0,United Kingdom
564342,22132,RED LOVE HEART SHAPE CUP,4,8/24/2011 14:53,0.85,16340.0,United Kingdom
C540158,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,-5,1/5/2011 11:42,0.85,12471.0,Germany
544467,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2/20/2011 15:51,3.75,14502.0,United Kingdom
539958,22470,HEART OF WICKER LARGE,1,12/23/2010 13:26,5.91,,United Kingdom
565917,20725,LUNCH BAG RED RETROSPOT,3,9/7/2011 16:15,4.13,,United Kingdom
544450,47567B,TEA TIME KITCHEN APRON,1,2/20/2011 12:23,5.95,17811.0,United Kingdom
538665,35095B,RED VICTORIAN FABRIC OVAL BOX,6,12/13/2010 15:56,0.42,17576.0,United Kingdom
563579,21289,LARGE STRIPES CHOCOLATE GIFT BAG,1,8/17/2011 15:16,1.25,,United Kingdom
551718,21756,BATH BUILDING BLOCK WORD,1,5/3/2011 16:06,11.63,,United Kingdom
577052,23168,CLASSIC CAFE SUGAR DISPENSER,2,11/17/2011 14:08,1.25,17397.0,United Kingdom
